Year: 2015,Month: 5,Day: 7
,EB,NB,SB,WB
23,30,37,85,36

Year: 2015,Month: 8,Day: 28
,EB,NB,SB,WB
0,16,12,45,10
1,12,9,38,5
2,9,23,18,7
3,8,28,24,2
4,5,114,11,7
5,15,233,48,10
6,30,386,88,37
7,54,495,177,53
8,78,398,208,60
9,93,386,245,64
10,117,426,290,67
11,98,460,396,91
12,117,470,433,137
13,128,435,467,112
14,135,440,501,133
15,176,427,603,161
16,181,455,637,175
17,221,451,692,179
18,167,444,690,173
19,121,304,528,131
20,114,224,382,121
21,90,145,310,91
22,59,126,194,54
23,42,63,154,31

Year: 2015,Month: 8,Day: 29
,EB,NB,SB,WB
0,20,28,65,18
1,22,24,57,12
2,9,23,47,7
3,4,20,24,4
4,6,38,18,7
5,7,58,27,6
6,14,104,40,10
7,33,189,75,22
8,73,257,147,42
9,76,389,191,81
10,124,535,307,101
11,120,542,409,119
12,185,548,606,185
13,184,495,633,216
14,134,287,380,87
21,10,24,35,12
22,70,92,188,55
23,35,73,126,39

Year: 2015,Month: 8,Day: 30
,EB,NB,SB,WB
0,20,25,42,10
1,15,19,51,8
2,13,19,31,14
